"행정구역별(1)","행정구역별(2)",인구현황별(1),인구현황별(2),2019
"서울특별시","동대문구",외국인등록인구수 (명),여자,10452
"서울특별시","동대문구",인구밀도 (명/㎢),소계,24345.57
"서울특별시","동대문구",인구증가율 (%),소계,-0.53
"서울특별시","중랑구",면적 (㎢),소계,18.50
"서울특별시","중랑구",전년말주민등록인구수 (명),소계,403209
"서울특별시","중랑구",성별 (명),소계,397015
"서울특별시","중랑구",성별 (명),남자,196959
"서울특별시","중랑구",성별 (명),여자,200056
"서울특별시","중랑구",연령별 (명),소계,397015
"서울특별시","중랑구",연령별 (명),0~14세(유소년),37243
"서울특별시","중랑구",연령별 (명),15~64세(생산가능),294707
"서울특별시","중랑구",연령별 (명),65세이상(고령),65065
"서울특별시","중랑구",외국인등록인구수 (명),소계,5009
"서울특별시","중랑구",외국인등록인구수 (명),남자,2047
"서울특별시","중랑구",외국인등록인구수 (명),여자,2962
"서울특별시","중랑구",인구밀도 (명/㎢),소계,21460.27
"서울특별시","중랑구",인구증가율 (%),소계,-1.54
"서울특별시","성북구",면적 (㎢),소계,24.57
"서울특별시","성북구",전년말주민등록인구수 (명),소계,435868
"서울특별시","성북구",성별 (명),소계,442650
"서울특별시","성북구",성별 (명),남자,214437
"서울특별시","성북구",성별 (명),여자,228213
"서울특별시","성북구",연령별 (명),소계,442650
"서울특별시","성북구",연령별 (명),0~14세(유소년),48562
"서울특별시","성북구",연령별 (명),15~64세(생산가능),323389
"서울특별시","성북구",연령별 (명),65세이상(고령),70699
"서울특별시","성북구",외국인등록인구수 (명),소계,12094
"서울특별시","성북구",외국인등록인구수 (명),남자,4662
"서울특별시","성북구",외국인등록인구수 (명),여자,7432
"서울특별시","성북구",인구밀도 (명/㎢),소계,18015.87
"서울특별시","성북구",인구증가율 (%),소계,1.56
"서울특별시","강북구",면적 (㎢),소계,23.60
"서울특별시","강북구",전년말주민등록인구수 (명),소계,319164
"서울특별시","강북구",성별 (명),소계,313954
"서울특별시","강북구",성별 (명),남자,153235
"서울특별시","강북구",성별 (명),여자,160719
"서울특별시","강북구",연령별 (명),소계,313954
"서울특별시","강북구",연령별 (명),0~14세(유소년),27714
"서울특별시","강북구",연령별 (명),15~64세(생산가능),225766
"서울특별시","강북구",연령별 (명),65세이상(고령),60474
"서울특별시","강북구",외국인등록인구수 (명),소계,3741
"서울특별시","강북구",외국인등록인구수 (명),남자,1403
"서울특별시","강북구",외국인등록인구수 (명),여자,2338
"서울특별시","강북구",인구밀도 (명/㎢),소계,13303.14
"서울특별시","강북구",인구증가율 (%),소계,-1.63
"서울특별시","도봉구",면적 (㎢),소계,20.66
"서울특별시","도봉구",전년말주민등록인구수 (명),소계,339413
"서울특별시","도봉구",성별 (명),소계,333362
"서울특별시","도봉구",성별 (명),남자,163051
"서울특별시","도봉구",성별 (명),여자,170311
"서울특별시","도봉구",연령별 (명),소계,333362
"서울특별시","도봉구",연령별 (명),0~14세(유소년),32614
"서울특별시","도봉구",연령별 (명),15~64세(생산가능),242084
"서울특별시","도봉구",연령별 (명),65세이상(고령),58664
"서울특별시","도봉구",외국인등록인구수 (명),소계,2269
"서울특별시","도봉구",외국인등록인구수 (명),남자,910
"서울특별시","도봉구",외국인등록인구수 (명),여자,1359
"서울특별시","도봉구",인구밀도 (명/㎢),소계,16135.62
"서울특별시","도봉구",인구증가율 (%),소계,-1.78
"서울특별시","노원구",면적 (㎢),소계,35.44
"서울특별시","노원구",전년말주민등록인구수 (명),소계,543752
"서울특별시","노원구",성별 (명),소계,532905
"서울특별시","노원구",성별 (명),남자,257923
"서울특별시","노원구",성별 (명),여자,274982
"서울특별시","노원구",연령별 (명),소계,532905
"서울특별시","노원구",연령별 (명),0~14세(유소년),60377
"서울특별시","노원구",연령별 (명),15~64세(생산가능),391674
"서울특별시","노원구",연령별 (명),65세이상(고령),80854
"서울특별시","노원구",외국인등록인구수 (명),소계,4398
"서울특별시","노원구",외국인등록인구수 (명),남자,1887
"서울특별시","노원구",외국인등록인구수 (명),여자,2511
"서울특별시","노원구",인구밀도 (명/㎢),소계,15036.82
"서울특별시","노원구",인구증가율 (%),소계,-1.99
"서울특별시","은평구",면적 (㎢),소계,29.71
"서울특별시","은평구",전년말주민등록인구수 (명),소계,483197
"서울특별시","은평구",성별 (명),소계,480032
"서울특별시","은평구",성별 (명),남자,231528
"서울특별시","은평구",성별 (명),여자,248504
"서울특별시","은평구",연령별 (명),소계,480032
"서울특별시","은평구",연령별 (명),0~14세(유소년),49813
"서울특별시","은평구",연령별 (명),15~64세(생산가능),349652
"서울특별시","은평구",연령별 (명),65세이상(고령),80567
"서울특별시","은평구",외국인등록인구수 (명),소계,4514
"서울특별시","은평구",외국인등록인구수 (명),남자,1832
"서울특별시","은평구",외국인등록인구수 (명),여자,2682
"서울특별시","은평구",인구밀도 (명/㎢),소계,16157.25
"서울특별시","은평구",인구증가율 (%),소계,-0.66
"서울특별시","서대문구",면적 (㎢),소계,17.63
"서울특별시","서대문구",전년말주민등록인구수 (명),소계,310313
"서울특별시","서대문구",성별 (명),소계,309397
"서울특별시","서대문구",성별 (명),남자,148663
"서울특별시","서대문구",성별 (명),여자,160734
"서울특별시","서대문구",연령별 (명),소계,309397
"서울특별시","서대문구",연령별 (명),0~14세(유소년),31201
"서울특별시","서대문구",연령별 (명),15~64세(생산가능),226551
"서울특별시","서대문구",연령별 (명),65세이상(고령),51645
"서울특별시","서대문구",외국인등록인구수 (명),소계,13774
"서울특별시","서대문구",외국인등록인구수 (명),남자,4552
"서울특별시","서대문구",외국인등록인구수 (명),여자,9222
"서울특별시","서대문구",인구밀도 (명/㎢),소계,17549.46
"서울특별시","서대문구",인구증가율 (%),소계,-0.30
"서울특별시","마포구",면적 (㎢),소계,23.85
"서울특별시","마포구",전년말주민등록인구수 (명),소계,375077
"서울특별시","마포구",성별 (명),소계,374035
"서울특별시","마포구",성별 (명),남자,176891
"서울특별시","마포구",성별 (명),여자,197144
"서울특별시","마포구",연령별 (명),소계,374035
"서울특별시","마포구",연령별 (명),0~14세(유소년),40457
"서울특별시","마포구",연령별 (명),15~64세(생산가능),281474
"서울특별시","마포구",연령별 (명),65세이상(고령),52104
"서울특별시","마포구",외국인등록인구수 (명),소계,11890
"서울특별시","마포구",외국인등록인구수 (명),남자,4412
"서울특별시","마포구",외국인등록인구수 (명),여자,7478
"서울특별시","마포구",인구밀도 (명/㎢),소계,15682.81
"서울특별시","마포구",인구증가율 (%),소계,-0.28
"서울특별시","양천구",면적 (㎢),소계,17.41
"서울특별시","양천구",전년말주민등록인구수 (명),소계,464185
"서울특별시","양천구",성별 (명),소계,458165
"서울특별시","양천구",성별 (명),남자,225186
"서울특별시","양천구",성별 (명),여자,232979
"서울특별시","양천구",연령별 (명),소계,458165
"서울특별시","양천구",연령별 (명),0~14세(유소년),57546
"서울특별시","양천구",연령별 (명),15~64세(생산가능),339472
"서울특별시","양천구",연령별 (명),65세이상(고령),61147
"서울특별시","양천구",외국인등록인구수 (명),소계,4120
"서울특별시","양천구",외국인등록인구수 (명),남자,1833
"서울특별시","양천구",외국인등록인구수 (명),여자,2287
"서울특별시","양천구",인구밀도 (명/㎢),소계,26316.20
"서울특별시","양천구",인구증가율 (%),소계,-1.30
"서울특별시","강서구",면적 (㎢),소계,41.44
"서울특별시","강서구",전년말주민등록인구수 (명),소계,596949
"서울특별시","강서구",성별 (명),소계,591796
"서울특별시","강서구",성별 (명),남자,286563
"서울특별시","강서구",성별 (명),여자,305233
"서울특별시","강서구",연령별 (명),소계,591796
"서울특별시","강서구",연령별 (명),0~14세(유소년),65584
"서울특별시","강서구",연령별 (명),15~64세(생산가능),442373
"서울특별시","강서구",연령별 (명),65세이상(고령),83839
"서울특별시","강서구",외국인등록인구수 (명),소계,6477
"서울특별시","강서구",외국인등록인구수 (명),남자,3128
"서울특별시","강서구",외국인등록인구수 (명),여자,3349
"서울특별시","강서구",인구밀도 (명/㎢),소계,14280.79
"서울특별시","강서구",인구증가율 (%),소계,-0.86
"서울특별시","구로구",면적 (㎢),소계,20.12
"서울특별시","구로구",전년말주민등록인구수 (명),소계,404497
"서울특별시","구로구",성별 (명),소계,406664
"서울특별시","구로구",성별 (명),남자,200987
"서울특별시","구로구",성별 (명),여자,205677
"서울특별시","구로구",연령별 (명),소계,406664
"서울특별시","구로구",연령별 (명),0~14세(유소년),45177
"서울특별시","구로구",연령별 (명),15~64세(생산가능),296555
"서울특별시","구로구",연령별 (명),65세이상(고령),64932
"서울특별시","구로구",외국인등록인구수 (명),소계,32707
"서울특별시","구로구",외국인등록인구수 (명),남자,18615
"서울특별시","구로구",외국인등록인구수 (명),여자,14092
"서울특별시","구로구",인구밀도 (명/㎢),소계,20211.93
"서울특별시","구로구",인구증가율 (%),소계,0.54
"서울특별시","금천구",면적 (㎢),소계,13.02
"서울특별시","금천구",전년말주민등록인구수 (명),소계,233917
"서울특별시","금천구",성별 (명),소계,232810
"서울특별시","금천구",성별 (명),남자,118209
"서울특별시","금천구",성별 (명),여자,114601
"서울특별시","금천구",연령별 (명),소계,232810
"서울특별시","금천구",연령별 (명),0~14세(유소년),20600
"서울특별시","금천구",연령별 (명),15~64세(생산가능),175014
"서울특별시","금천구",연령별 (명),65세이상(고령),37196
"서울특별시","금천구",외국인등록인구수 (명),소계,19010
"서울특별시","금천구",외국인등록인구수 (명),남자,10745
"서울특별시","금천구",외국인등록인구수 (명),여자,8265
"서울특별시","금천구",인구밀도 (명/㎢),소계,17880.95
"서울특별시","금천구",인구증가율 (%),소계,-0.47
"서울특별시","영등포구",면적 (㎢),소계,24.55
"서울특별시","영등포구",전년말주민등록인구수 (명),소계,367778
"서울특별시","영등포구",성별 (명),소계,367678
"서울특별시","영등포구",성별 (명),남자,182438
"서울특별시","영등포구",성별 (명),여자,185240
"서울특별시","영등포구",연령별 (명),소계,367678
"서울특별시","영등포구",연령별 (명),0~14세(유소년),36639
"서울특별시","영등포구",연령별 (명),15~64세(생산가능),274082
"서울특별시","영등포구",연령별 (명),65세이상(고령),56957
"서울특별시","영등포구",외국인등록인구수 (명),소계,33308
"서울특별시","영등포구",외국인등록인구수 (명),남자,18548
"서울특별시","영등포구",외국인등록인구수 (명),여자,14760
"서울특별시","영등포구",인구밀도 (명/㎢),소계,14976.70
"서울특별시","영등포구",인구증가율 (%),소계,-0.03
"서울특별시","동작구",면적 (㎢),소계,16.35
"서울특별시","동작구",전년말주민등록인구수 (명),소계,396203
"서울특별시","동작구",성별 (명),소계,395963
"서울특별시","동작구",성별 (명),남자,191976
"서울특별시","동작구",성별 (명),여자,203987
"서울특별시","동작구",연령별 (명),소계,395963
"서울특별시","동작구",연령별 (명),0~14세(유소년),39862
"서울특별시","동작구",연령별 (명),15~64세(생산가능),294107
"서울특별시","동작구",연령별 (명),65세이상(고령),61994
"서울특별시","동작구",외국인등록인구수 (명),소계,12949
"서울특별시","동작구",외국인등록인구수 (명),남자,5730
"서울특별시","동작구",외국인등록인구수 (명),여자,7219
"서울특별시","동작구",인구밀도 (명/㎢),소계,24217.92
"서울특별시","동작구",인구증가율 (%),소계,-0.06
"서울특별시","관악구",면적 (㎢),소계,29.57
"서울특별시","관악구",전년말주민등록인구수 (명),소계,501957
"서울특별시","관악구",성별 (명),소계,500094
"서울특별시","관악구",성별 (명),남자,251009
"서울특별시","관악구",성별 (명),여자,249085
"서울특별시","관악구",연령별 (명),소계,500094
"서울특별시","관악구",연령별 (명),0~14세(유소년),38374
"서울특별시","관악구",연령별 (명),15~64세(생산가능),386933
"서울특별시","관악구",연령별 (명),65세이상(고령),74787
"서울특별시","관악구",외국인등록인구수 (명),소계,17240
"서울특별시","관악구",외국인등록인구수 (명),남자,8185
"서울특별시","관악구",외국인등록인구수 (명),여자,9055
"서울특별시","관악구",인구밀도 (명/㎢),소계,16912.21
"서울특별시","관악구",인구증가율 (%),소계,-0.37
"서울특별시","서초구",면적 (㎢),소계,46.98
"서울특별시","서초구",전년말주민등록인구수 (명),소계,433951
"서울특별시","서초구",성별 (명),소계,430826
"서울특별시","서초구",성별 (명),남자,206039
"서울특별시","서초구",성별 (명),여자,224787
"서울특별시","서초구",연령별 (명),소계,430826
"서울특별시","서초구",연령별 (명),0~14세(유소년),58340
"서울특별시","서초구",연령별 (명),15~64세(생산가능),315450
"서울특별시","서초구",연령별 (명),65세이상(고령),57036
"서울특별시","서초구",외국인등록인구수 (명),소계,4281
"서울특별시","서초구",외국인등록인구수 (명),남자,2142
"서울특별시","서초구",외국인등록인구수 (명),여자,2139
"서울특별시","서초구",인구밀도 (명/㎢),소계,9170.41
"서울특별시","서초구",인구증가율 (%),소계,-0.72
"서울특별시","강남구",면적 (㎢),소계,39.50
"서울특별시","강남구",전년말주민등록인구수 (명),소계,542364
"서울특별시","강남구",성별 (명),소계,545169
"서울특별시","강남구",성별 (명),남자,260806
"서울특별시","강남구",성별 (명),여자,284363
"서울특별시","강남구",연령별 (명),소계,545169
"서울특별시","강남구",연령별 (명),0~14세(유소년),66767
"서울특별시","강남구",연령별 (명),15~64세(생산가능),407506
"서울특별시","강남구",연령별 (명),65세이상(고령),70896
"서울특별시","강남구",외국인등록인구수 (명),소계,5040
"서울특별시","강남구",외국인등록인구수 (명),남자,2539
"서울특별시","강남구",외국인등록인구수 (명),여자,2501
"서울특별시","강남구",인구밀도 (명/㎢),소계,13801.75
"서울특별시","강남구",인구증가율 (%),소계,0.52
"서울특별시","송파구",면적 (㎢),소계,33.87
"서울특별시","송파구",전년말주민등록인구수 (명),소계,666635
"서울특별시","송파구",성별 (명),소계,675961
"서울특별시","송파구",성별 (명),남자,327164
"서울특별시","송파구",성별 (명),여자,348797
"서울특별시","송파구",연령별 (명),소계,675961
"서울특별시","송파구",연령별 (명),0~14세(유소년),82343
"서울특별시","송파구",연령별 (명),15~64세(생산가능),506436
"서울특별시","송파구",연령별 (명),65세이상(고령),87182
"서울특별시","송파구",외국인등록인구수 (명),소계,6780
"서울특별시","송파구",외국인등록인구수 (명),남자,3248
"서울특별시","송파구",외국인등록인구수 (명),여자,3532
"서울특별시","송파구",인구밀도 (명/㎢),소계,19957.51
"서울특별시","송파구",인구증가율 (%),소계,1.40
"서울특별시","강동구",면적 (㎢),소계,24.59
"서울특별시","강동구",전년말주민등록인구수 (명),소계,427573
"서울특별시","강동구",성별 (명),소계,436067
"서울특별시","강동구",성별 (명),남자,215335
"서울특별시","강동구",성별 (명),여자,220732
"서울특별시","강동구",연령별 (명),소계,436067
"서울특별시","강동구",연령별 (명),0~14세(유소년),49823
"서울특별시","강동구",연령별 (명),15~64세(생산가능),322903
"서울특별시","강동구",연령별 (명),65세이상(고령),63341
"서울특별시","강동구",외국인등록인구수 (명),소계,4323
"서울특별시","강동구",외국인등록인구수 (명),남자,2003
"서울특별시","강동구",외국인등록인구수 (명),여자,2320
"서울특별시","강동구",인구밀도 (명/㎢),소계,17733.51
"서울특별시","강동구",인구증가율 (%),소계,1.99
"부산광역시","소계",면적 (㎢),소계,770.07
"부산광역시","소계",전년말주민등록인구수 (명),소계,3441453
"부산광역시","소계",성별 (명),소계,3413841
"부산광역시","소계",성별 (명),남자,1675417
"부산광역시","소계",성별 (명),여자,1738424
"부산광역시","소계",연령별 (명),소계,3413841
"부산광역시","소계",연령별 (명),0~14세(유소년),371581
"부산광역시","소계",연령별 (명),15~64세(생산가능),2422137
"부산광역시","소계",연령별 (명),65세이상(고령),620123
"부산광역시","소계",외국인등록인구수 (명),소계,52722
"부산광역시","소계",외국인등록인구수 (명),남자,28681
"부산광역시","소계",외국인등록인구수 (명),여자,24041
"부산광역시","소계",인구밀도 (명/㎢),소계,4433.44
"부산광역시","소계",인구증가율 (%),소계,-0.80
"부산광역시","중구",면적 (㎢),소계,2.83
"부산광역시","중구",전년말주민등록인구수 (명),소계,42795
"부산광역시","중구",성별 (명),소계,41910
"부산광역시","중구",성별 (명),남자,20557
"부산광역시","중구",성별 (명),여자,21353
"부산광역시","중구",연령별 (명),소계,41910
"부산광역시","중구",연령별 (명),0~14세(유소년),2399
"부산광역시","중구",연령별 (명),15~64세(생산가능),28767
"부산광역시","중구",연령별 (명),65세이상(고령),10744
"부산광역시","중구",외국인등록인구수 (명),소계,2162
"부산광역시","중구",외국인등록인구수 (명),남자,1347
"부산광역시","중구",외국인등록인구수 (명),여자,815
"부산광역시","중구",인구밀도 (명/㎢),소계,14809.19
"부산광역시","중구",인구증가율 (%),소계,-2.07
"부산광역시","서구",면적 (㎢),소계,13.98
"부산광역시","서구",전년말주민등록인구수 (명),소계,110534
"부산광역시","서구",성별 (명),소계,108229
"부산광역시","서구",성별 (명),남자,52627
"부산광역시","서구",성별 (명),여자,55602
"부산광역시","서구",연령별 (명),소계,108229
"부산광역시","서구",연령별 (명),0~14세(유소년),8978
"부산광역시","서구",연령별 (명),15~64세(생산가능),73182
"부산광역시","서구",연령별 (명),65세이상(고령),26069
"부산광역시","서구",외국인등록인구수 (명),소계,2121
"부산광역시","서구",외국인등록인구수 (명),남자,1314
"부산광역시","서구",외국인등록인구수 (명),여자,807
"부산광역시","서구",인구밀도 (명/㎢),소계,7741.70
"부산광역시","서구",인구증가율 (%),소계,-2.09
"부산광역시","동구",면적 (㎢),소계,9.87
"부산광역시","동구",전년말주민등록인구수 (명),소계,86912
"부산광역시","동구",성별 (명),소계,88165
"부산광역시","동구",성별 (명),남자,43327
"부산광역시","동구",성별 (명),여자,44838
"부산광역시","동구",연령별 (명),소계,88165
"부산광역시","동구",연령별 (명),0~14세(유소년),6371
"부산광역시","동구",연령별 (명),15~64세(생산가능),59537
"부산광역시","동구",연령별 (명),65세이상(고령),22257
"부산광역시","동구",외국인등록인구수 (명),소계,2312
"부산광역시","동구",외국인등록인구수 (명),남자,1089
"부산광역시","동구",외국인등록인구수 (명),여자,1223
"부산광역시","동구",인구밀도 (명/㎢),소계,8932.62
"부산광역시","동구",인구증가율 (%),소계,1.44
"부산광역시","영도구",면적 (㎢),소계,14.20
"부산광역시","영도구",전년말주민등록인구수 (명),소계,120109
"부산광역시","영도구",성별 (명),소계,116711
"부산광역시","영도구",성별 (명),남자,57629
"부산광역시","영도구",성별 (명),여자,59082
"부산광역시","영도구",연령별 (명),소계,116711
"부산광역시","영도구",연령별 (명),0~14세(유소년),9142
"부산광역시","영도구",연령별 (명),15~64세(생산가능),77453
"부산광역시","영도구",연령별 (명),65세이상(고령),30116
"부산광역시","영도구",외국인등록인구수 (명),소계,1917
"부산광역시","영도구",외국인등록인구수 (명),남자,1177
"부산광역시","영도구",외국인등록인구수 (명),여자,740
"부산광역시","영도구",인구밀도 (명/㎢),소계,8219.08
"부산광역시","영도구",인구증가율 (%),소계,-2.83
"부산광역시","부산진구",면적 (㎢),소계,29.67
"부산광역시","부산진구",전년말주민등록인구수 (명),소계,362357
"부산광역시","부산진구",성별 (명),소계,357880
"부산광역시","부산진구",성별 (명),남자,173446
"부산광역시","부산진구",성별 (명),여자,184434
"부산광역시","부산진구",연령별 (명),소계,357880
"부산광역시","부산진구",연령별 (명),0~14세(유소년),33887
"부산광역시","부산진구",연령별 (명),15~64세(생산가능),256860
"부산광역시","부산진구",연령별 (명),65세이상(고령),67133
"부산광역시","부산진구",외국인등록인구수 (명),소계,3164
"부산광역시","부산진구",외국인등록인구수 (명),남자,1275
"부산광역시","부산진구",외국인등록인구수 (명),여자,1889
"부산광역시","부산진구",인구밀도 (명/㎢),소계,12062.02
"부산광역시","부산진구",인구증가율 (%),소계,-1.24
"부산광역시","동래구",면적 (㎢),소계,16.63
"부산광역시","동래구",전년말주민등록인구수 (명),소계,266515
"부산광역시","동래구",성별 (명),소계,271247
"부산광역시","동래구",성별 (명),남자,132295
"부산광역시","동래구",성별 (명),여자,138952
"부산광역시","동래구",연령별 (명),소계,271247
"부산광역시","동래구",연령별 (명),0~14세(유소년),31675
"부산광역시","동래구",연령별 (명),15~64세(생산가능),192709
"부산광역시","동래구",연령별 (명),65세이상(고령),46863
"부산광역시","동래구",외국인등록인구수 (명),소계,1253
"부산광역시","동래구",외국인등록인구수 (명),남자,427
"부산광역시","동래구",외국인등록인구수 (명),여자,826
"부산광역시","동래구",인구밀도 (명/㎢),소계,16310.70
"부산광역시","동래구",인구증가율 (%),소계,1.78
"부산광역시","남구",면적 (㎢),소계,26.82
"부산광역시","남구",전년말주민등록인구수 (명),소계,279917
"부산광역시","남구",성별 (명),소계,274480
"부산광역시","남구",성별 (명),남자,134519
"부산광역시","남구",성별 (명),여자,139961
"부산광역시","남구",연령별 (명),소계,274480
"부산광역시","남구",연령별 (명),0~14세(유소년),30634
"부산광역시","남구",연령별 (명),15~64세(생산가능),192129
"부산광역시","남구",연령별 (명),65세이상(고령),51717
"부산광역시","남구",외국인등록인구수 (명),소계,6372
"부산광역시","남구",외국인등록인구수 (명),남자,3148
"부산광역시","남구",외국인등록인구수 (명),여자,3224
"부산광역시","남구",인구밀도 (명/㎢),소계,10234.15
"부산광역시","남구",인구증가율 (%),소계,-1.94
"부산광역시","북구",면적 (㎢),소계,39.37
"부산광역시","북구",전년말주민등록인구수 (명),소계,296952
"부산광역시","북구",성별 (명),소계,291132
"부산광역시","북구",성별 (명),남자,144229
"부산광역시","북구",성별 (명),여자,146903
"부산광역시","북구",연령별 (명),소계,291132
"부산광역시","북구",연령별 (명),0~14세(유소년),31577
"부산광역시","북구",연령별 (명),15~64세(생산가능),213647
"부산광역시","북구",연령별 (명),65세이상(고령),45908
"부산광역시","북구",외국인등록인구수 (명),소계,2572
"부산광역시","북구",외국인등록인구수 (명),남자,1220
"부산광역시","북구",외국인등록인구수 (명),여자,1352
"부산광역시","북구",인구밀도 (명/㎢),소계,7394.77
"부산광역시","북구",인구증가율 (%),소계,-1.96
"부산광역시","해운대구",면적 (㎢),소계,51.47
"부산광역시","해운대구",전년말주민등록인구수 (명),소계,409347
